"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5279843848508","10.4476908499867","10.3925744140151","10.3379133924894","10.2795486153466","10.2849897300921","10.2333395041854","10.1993343765959","10.1383272251051","10.0998871645076","10.1743561419323","10.1464669154594","10.0377915870108","10.120587345611","10.094679863409","10.1014102917774","10.139437033193","10.1273112954244","10.0263157844192","9.89751965974886","9.88134197749162","9.91026652913439","9.94270737739461","9.77846063630877","9.86710910384491","9.78006353103477","9.73914364860188","9.76606721976164","9.62138227310242","9.33664316926746","9.1077220353804","9.26847509870966","9.08540147372235","9.33234960182426","9.36570180237394",
"Afghanistan","AFG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5840940661934","12.9133571785906","12.9826492318938","13.0936842157593","13.3821484178333","13.3013608410461","13.2142911214488","13.0996140326893","12.9839529264061","12.8762357304282","12.6383842491558","12.9610790273256","13.1753213261538","13.1851590500524","13.5002727037863","13.7073220597731","14.0332043377993","14.2724927619635","15.7209119699527","16.9843225135611","17.5647106902863","18.922538408842","21.3458275277614","23.8556617856929","22.6191439151609","21.3484268966527","20.1948976002105","19.3764202039082","18.6092921833009","18.4813133384578","19.6166325981684","19.0365082146219","19.2101817019298","19.04343301785","18.899104657876",
"Africa Western and Central","AFW","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6869099322173","10.6857085727263","10.5431609689628","10.4387719450921","10.4142594160385","10.4782966067426","10.5170826024834","10.5293658096854","10.5145612120758","10.5836353988489","10.6103748651108","10.7648911272942","10.8530324683944","11.0328144812522","11.0916184926827","11.1873055146736","11.2346770850474","11.3761082136811","11.5800174596641","11.9018341473058","12.1617442054176","12.6753395739002","13.2777441167531","13.3608892470377","13.2507527100544","12.9736317691239","13.1865281944523","13.2782117232962","13.4267798107887","14.0081751903943","14.5639698420285","15.5137216328746","15.5367821709054","15.5641883641923","15.700511159842",
"Angola","AGO","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.51128469140186","7.4685434573405","7.39762530883251","7.48484417235353","7.63070298630398","7.80597002631903","7.95266301089811","8.12105970898596","8.13486660560372","8.20603868855657","8.33507374705519","8.54340624924814","8.62199732388659","8.67996009269596","8.43674078354355","8.09957490631862","7.82226626281896","7.42690030278263","7.09450441578545","7.0405739661303","6.9394565049925","6.9950871766761","6.93737457871224","6.90546973987979","6.97823990911923","6.9647108250222","6.97317514233434","6.91352320117387","6.91048084459406","6.22112630329174","5.71757267555681","7.02747877022109","7.06703901240925","7.15769760915994","7.1991450306404",
"Albania","ALB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1522980958876","17.884588346727","17.7957481076995","17.5956120008112","16.7134421263916","15.2348298615604","15.6294319848081","15.2196353801216","15.6087309242592","16.1971843747112","16.3141121165524","16.8320593686626","16.4085704094112","17.3012615655709","17.299571815668","17.2245484850272","17.550610754289","17.8328768802176","18.7246763763702","19.1397026913713","18.7716469479636","17.032465162256","17.3225314643974","18.4257498114066","19.0473630948189","20.1110874006493","19.9460669086892","20.2315679947359","20.5490004183011","20.896682708558","21.7682443587448","22.2495025218655","21.6488726713231","21.7950147688227","21.9832473174847",
"Andorra","AND","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3241176679017","21.5163293113229","21.589288921178","21.8579255082854","21.9325502773788","22.4941378001427","22.4089495001724","22.3946256093097","22.439847094574","22.0917487976501","22.1028992158816","21.9220309313914","21.8236694758185","22.2086153753825","22.8644416843954","23.3436542689737","23.7068180198386","24.3897414245654","24.6695393751223","25.2798693467047","24.8221532734496","24.9220634987711","24.7453162075315","24.9080464694852","25.1352301923887","25.3382249083943","25.5337864778913","25.5668619256035","25.6149950161931","24.9155437013149","24.8292011030561","24.6053628168092","26.3319756718891","26.4023193990597","26.4299597242542",
"United Arab Emirates","ARE","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.9838615846203","42.9442802681975","42.9050284940463","42.9109376623458","43.0176985178687","42.957278002166","43.2415708253554","43.1031474092192","42.8024985774201","42.7660413178992","41.2001044552557","39.5280475282695","38.4684212936508","37.225420527623","35.8313392424844","34.8607873699547","33.6684852637698","32.411854767931","32.1547861153411","31.8109098932117","31.4633571975245","31.043792174637","30.8842973647718","30.8542290844459","31.1129286758639","30.9527177577007","30.4944057403147","30.2127063069144","29.9929929037285","28.9428592438209","30.8775672009222","30.7486923060023","30.7827300526736","30.5782520164969","30.5944309489653",
"Argentina","ARG","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3757346010076","26.9570831664139","24.7326943929826","24.035504372822","22.8454103072075","22.7531200018174","23.3670723053796","22.8243117504604","21.7393029257151","20.9340237882204","20.2977811255828","18.6580046727594","20.2486924367082","20.5642297662723","21.1426475358338","21.5732443105464","21.8987928729188","22.0818356602783","21.3553224451483","21.5819580824783","22.3936079441824","22.1242387014808","22.4740954383685","22.7948760583105","22.3689252873984","21.5725405836968","21.1329975687179","20.7848673724352","20.6149198410894","20.9264628130185","20.4837081020577","21.1180064272847","21.4115045495218","21.1121866891603","21.1843287834617",
